Employee,Country,Entry,Exit
Emp1,FR,2025-01-15,2025-02-14
Emp1,FR,2025-06-01,2025-06-21
Emp1,FR,2025-06-20,2025-07-15
Emp1,FR,2025-09-18,2025-10-12
Emp1,FR,2025-09-14,2025-10-02
Emp1,FR,2025-08-30,2025-09-11
Emp1,FR,2025-01-25,2025-02-11
Emp1,FR,2025-02-21,2025-03-13
Emp1,FR,2025-02-10,2025-03-06
Emp1,FR,2025-01-23,2025-02-20
Emp1,FR,2025-04-14,2025-05-14
Emp1,FR,2025-04-20,2025-04-24
Emp1,FR,2025-05-05,2025-05-09
Emp1,FR,2025-02-15,2025-03-04
Emp1,FR,2025-04-02,2025-04-20
Emp1,FR,2025-09-06,2025-09-30
Emp1,FR,2025-01-17,2025-02-12
Emp1,FR,2025-10-04,2025-11-01
Emp1,FR,2025-03-04,2025-03-27
Emp1,FR,2025-08-11,2025-08-13
Emp2,FR,2025-04-14,2025-05-07
Emp2,FR,2025-10-07,2025-10-16
Emp2,FR,2025-02-14,2025-02-26
Emp2,FR,2025-02-12,2025-03-04
Emp2,FR,2025-10-17,2025-10-18
Emp2,FR,2025-01-14,2025-02-13
Emp2,FR,2025-08-08,2025-09-01
Emp2,FR,2025-10-11,2025-10-12
Emp2,FR,2025-06-02,2025-06-20
Emp2,FR,2025-01-20,2025-02-04
Emp2,FR,2025-07-07,2025-08-02
Emp2,FR,2025-10-18,2025-10-27
Emp2,FR,2025-08-29,2025-09-21
Emp2,FR,2025-09-18,2025-10-11
Emp2,FR,2025-09-29,2025-10-05
Emp2,FR,2025-07-27,2025-07-30
Emp2,FR,2025-07-27,2025-08-16
Emp2,FR,2025-04-29,2025-05-23
Emp2,FR,2025-04-20,2025-05-17
Emp2,FR,2025-09-25,2025-10-16
Emp3,FR,2025-03-12,2025-03-23
Emp3,FR,2025-05-29,2025-06-05
Emp3,FR,2025-03-22,2025-03-27
Emp3,FR,2025-09-05,2025-09-18
Emp3,FR,2025-04-21,2025-04-29
Emp3,FR,2025-02-25,2025-03-17
Emp3,FR,2025-03-02,2025-03-24
Emp3,FR,2025-01-16,2025-01-18
Emp3,FR,2025-10-20,2025-10-28
Emp3,FR,2025-02-28,2025-03-01
Emp3,FR,2025-02-26,2025-03-06
Emp3,FR,2025-02-10,2025-02-15
Emp3,FR,2025-04-23,2025-05-19
Emp3,FR,2025-08-03,2025-08-22
Emp3,FR,2025-04-30,2025-05-25
Emp3,FR,2025-03-17,2025-04-02
Emp3,FR,2025-06-12,2025-06-19
Emp3,FR,2025-09-05,2025-09-27
Emp3,FR,2025-08-26,2025-08-31
Emp3,FR,2025-06-12,2025-06-17
Emp4,FR,2025-05-14,2025-05-23
Emp4,FR,2025-09-08,2025-10-08
Emp4,FR,2025-02-25,2025-03-15
Emp4,FR,2025-10-08,2025-10-27
Emp4,FR,2025-07-31,2025-08-19
Emp4,FR,2025-08-18,2025-09-15
Emp4,FR,2025-01-29,2025-02-21
Emp4,FR,2025-05-18,2025-06-13
Emp4,FR,2025-04-19,2025-05-10
Emp4,FR,2025-07-01,2025-07-18
Emp4,FR,2025-09-22,2025-10-14
Emp4,FR,2025-05-16,2025-05-30
Emp4,FR,2025-03-15,2025-03-26
Emp4,FR,2025-08-12,2025-09-05
Emp4,FR,2025-02-05,2025-02-12
Emp4,FR,2025-07-24,2025-08-04
Emp4,FR,2025-09-30,2025-10-08
Emp4,FR,2025-04-18,2025-05-10
Emp4,FR,2025-07-11,2025-07-29
Emp4,FR,2025-05-13,2025-05-29
Emp5,FR,2025-06-17,2025-07-12
Emp5,FR,2025-08-13,2025-09-04
Emp5,FR,2025-08-05,2025-08-07
Emp5,FR,2025-04-01,2025-04-09
Emp5,FR,2025-06-07,2025-06-26
Emp5,FR,2025-01-26,2025-02-04
Emp5,FR,2025-03-25,2025-04-13
Emp5,FR,2025-07-22,2025-07-26
Emp5,FR,2025-06-15,2025-06-16
Emp5,FR,2025-07-17,2025-07-26
Emp5,FR,2025-03-31,2025-04-23
Emp5,FR,2025-06-21,2025-07-17
Emp5,FR,2025-02-27,2025-03-25
Emp5,FR,2025-06-13,2025-07-04
Emp5,FR,2025-04-29,2025-05-25
Emp5,FR,2025-09-04,2025-09-30
Emp5,FR,2025-08-28,2025-09-09
Emp5,FR,2025-07-31,2025-08-06
Emp5,FR,2025-09-19,2025-10-18
Emp5,FR,2025-01-13,2025-01-23
