Employee,Country,Entry,Exit
Emp1,FR,2025-02-26,2025-03-07
Emp1,FR,2025-07-10,2025-07-22
Emp1,FR,2025-09-30,2025-10-24
Emp1,FR,2025-07-11,2025-08-03
Emp1,FR,2025-08-19,2025-08-22
Emp1,FR,2025-04-01,2025-04-30
Emp1,FR,2025-07-25,2025-08-08
Emp1,FR,2025-04-14,2025-04-22
Emp1,FR,2025-09-22,2025-10-09
Emp1,FR,2025-04-17,2025-05-13
Emp1,FR,2025-09-30,2025-10-18
Emp1,FR,2025-05-16,2025-06-09
Emp1,FR,2025-03-13,2025-04-11
Emp1,FR,2025-06-03,2025-06-19
Emp1,FR,2025-05-30,2025-06-27
Emp1,FR,2025-03-25,2025-03-27
Emp1,FR,2025-10-19,2025-11-02
Emp1,FR,2025-04-20,2025-05-04
Emp1,FR,2025-04-12,2025-04-13
Emp1,FR,2025-10-14,2025-10-16
Emp2,FR,2025-03-31,2025-04-24
Emp2,FR,2025-05-19,2025-05-23
Emp2,FR,2025-10-05,2025-10-28
Emp2,FR,2025-08-09,2025-08-22
Emp2,FR,2025-09-25,2025-09-27
Emp2,FR,2025-01-01,2025-01-14
Emp2,FR,2025-06-19,2025-06-23
Emp2,FR,2025-10-01,2025-10-07
Emp2,FR,2025-08-26,2025-08-27
Emp2,FR,2025-06-01,2025-06-16
Emp2,FR,2025-05-31,2025-06-03
Emp2,FR,2025-07-30,2025-08-19
Emp2,FR,2025-05-11,2025-06-01
Emp2,FR,2025-05-17,2025-06-03
Emp2,FR,2025-09-09,2025-09-26
Emp2,FR,2025-09-22,2025-10-18
Emp2,FR,2025-05-22,2025-05-30
Emp2,FR,2025-04-21,2025-05-04
Emp2,FR,2025-06-09,2025-06-12
Emp2,FR,2025-01-23,2025-02-07
Emp3,FR,2025-04-10,2025-04-23
Emp3,FR,2025-05-27,2025-06-08
Emp3,FR,2025-05-19,2025-05-29
Emp3,FR,2025-07-23,2025-08-17
Emp3,FR,2025-01-23,2025-02-04
Emp3,FR,2025-09-08,2025-09-28
Emp3,FR,2025-07-23,2025-08-17
Emp3,FR,2025-01-20,2025-02-08
Emp3,FR,2025-07-27,2025-07-28
Emp3,FR,2025-03-03,2025-03-15
Emp3,FR,2025-05-03,2025-05-16
Emp3,FR,2025-06-20,2025-06-30
Emp3,FR,2025-01-25,2025-02-23
Emp3,FR,2025-10-11,2025-10-14
Emp3,FR,2025-04-19,2025-04-30
Emp3,FR,2025-09-03,2025-09-16
Emp3,FR,2025-06-16,2025-07-02
Emp3,FR,2025-10-19,2025-10-20
Emp3,FR,2025-02-08,2025-02-23
Emp3,FR,2025-09-27,2025-10-20
Emp4,FR,2025-08-02,2025-08-09
Emp4,FR,2025-03-18,2025-04-01
Emp4,FR,2025-08-15,2025-09-09
Emp4,FR,2025-09-14,2025-09-15
Emp4,FR,2025-04-30,2025-05-04
Emp4,FR,2025-04-18,2025-05-08
Emp4,FR,2025-04-06,2025-04-19
Emp4,FR,2025-07-20,2025-07-28
Emp4,FR,2025-01-10,2025-01-30
Emp4,FR,2025-07-16,2025-08-14
Emp4,FR,2025-02-27,2025-03-25
Emp4,FR,2025-06-27,2025-07-20
Emp4,FR,2025-06-21,2025-07-07
Emp4,FR,2025-03-13,2025-04-03
Emp4,FR,2025-06-11,2025-06-14
Emp4,FR,2025-03-02,2025-03-25
Emp4,FR,2025-05-16,2025-05-21
Emp4,FR,2025-10-11,2025-11-01
Emp4,FR,2025-02-11,2025-02-13
Emp4,FR,2025-04-09,2025-05-09
Emp5,FR,2025-05-31,2025-06-23
Emp5,FR,2025-05-08,2025-06-06
Emp5,FR,2025-08-01,2025-08-17
Emp5,FR,2025-08-20,2025-09-14
Emp5,FR,2025-04-16,2025-04-19
Emp5,FR,2025-07-23,2025-08-13
Emp5,FR,2025-03-08,2025-03-21
Emp5,FR,2025-04-01,2025-04-12
Emp5,FR,2025-01-24,2025-02-08
Emp5,FR,2025-10-27,2025-11-10
Emp5,FR,2025-06-28,2025-07-12
Emp5,FR,2025-01-30,2025-02-28
Emp5,FR,2025-04-29,2025-05-21
Emp5,FR,2025-08-07,2025-08-19
Emp5,FR,2025-10-19,2025-11-18
Emp5,FR,2025-05-16,2025-06-10
Emp5,FR,2025-01-22,2025-01-26
Emp5,FR,2025-10-01,2025-10-04
Emp5,FR,2025-02-27,2025-03-20
Emp5,FR,2025-04-19,2025-05-13
