Employee,Country,Entry,Exit
Emp1,FR,2025-07-07,2025-07-28
Emp1,FR,2025-01-15,2025-01-24
Emp1,FR,2025-02-23,2025-02-27
Emp1,FR,2025-10-04,2025-10-09
Emp1,FR,2025-07-07,2025-07-30
Emp1,FR,2025-03-17,2025-03-18
Emp1,FR,2025-07-29,2025-08-26
Emp1,FR,2025-06-26,2025-07-20
Emp1,FR,2025-02-04,2025-02-26
Emp1,FR,2025-05-29,2025-06-08
Emp1,FR,2025-07-03,2025-07-23
Emp1,FR,2025-01-14,2025-01-29
Emp1,FR,2025-10-19,2025-11-17
Emp1,FR,2025-08-07,2025-08-18
Emp1,FR,2025-06-27,2025-07-09
Emp1,FR,2025-06-28,2025-07-27
Emp1,FR,2025-04-20,2025-05-19
Emp1,FR,2025-07-02,2025-07-24
Emp1,FR,2025-08-15,2025-09-07
Emp1,FR,2025-01-15,2025-01-21
Emp2,FR,2025-01-09,2025-01-26
Emp2,FR,2025-03-04,2025-03-31
Emp2,FR,2025-01-15,2025-02-04
Emp2,FR,2025-02-16,2025-03-03
Emp2,FR,2025-09-14,2025-10-13
Emp2,FR,2025-08-19,2025-08-30
Emp2,FR,2025-10-19,2025-11-07
Emp2,FR,2025-08-22,2025-08-31
Emp2,FR,2025-04-05,2025-04-20
Emp2,FR,2025-08-04,2025-08-20
Emp2,FR,2025-08-31,2025-09-22
Emp2,FR,2025-03-11,2025-03-30
Emp2,FR,2025-02-24,2025-02-26
Emp2,FR,2025-07-01,2025-07-13
Emp2,FR,2025-01-09,2025-01-15
Emp2,FR,2025-09-25,2025-10-03
Emp2,FR,2025-08-22,2025-09-07
Emp2,FR,2025-09-01,2025-09-16
Emp2,FR,2025-07-15,2025-07-22
Emp2,FR,2025-09-13,2025-09-14
Emp3,FR,2025-03-08,2025-03-13
Emp3,FR,2025-03-25,2025-04-14
Emp3,FR,2025-01-10,2025-02-06
Emp3,FR,2025-06-15,2025-06-22
Emp3,FR,2025-03-06,2025-03-25
Emp3,FR,2025-10-06,2025-10-30
Emp3,FR,2025-10-18,2025-10-30
Emp3,FR,2025-05-20,2025-06-13
Emp3,FR,2025-01-18,2025-02-08
Emp3,FR,2025-09-22,2025-10-14
Emp3,FR,2025-01-16,2025-02-02
Emp3,FR,2025-04-20,2025-05-14
Emp3,FR,2025-01-19,2025-01-21
Emp3,FR,2025-10-28,2025-11-11
Emp3,FR,2025-08-24,2025-09-01
Emp3,FR,2025-04-15,2025-05-05
Emp3,FR,2025-05-18,2025-05-29
Emp3,FR,2025-06-08,2025-06-29
Emp3,FR,2025-10-26,2025-11-15
Emp3,FR,2025-07-16,2025-07-18
Emp4,FR,2025-08-13,2025-08-25
Emp4,FR,2025-03-28,2025-04-07
Emp4,FR,2025-06-20,2025-06-30
Emp4,FR,2025-01-30,2025-02-27
Emp4,FR,2025-06-09,2025-06-10
Emp4,FR,2025-07-28,2025-08-24
Emp4,FR,2025-06-10,2025-07-09
Emp4,FR,2025-05-07,2025-05-11
Emp4,FR,2025-05-06,2025-05-11
Emp4,FR,2025-02-20,2025-03-15
Emp4,FR,2025-08-22,2025-09-20
Emp4,FR,2025-03-19,2025-03-28
Emp4,FR,2025-08-31,2025-09-19
Emp4,FR,2025-02-22,2025-02-25
Emp4,FR,2025-04-28,2025-05-18
Emp4,FR,2025-04-04,2025-04-15
Emp4,FR,2025-04-20,2025-05-05
Emp4,FR,2025-02-25,2025-03-15
Emp4,FR,2025-02-01,2025-02-08
Emp4,FR,2025-08-16,2025-08-17
Emp5,FR,2025-02-12,2025-02-20
Emp5,FR,2025-01-02,2025-01-21
Emp5,FR,2025-09-24,2025-10-01
Emp5,FR,2025-09-08,2025-10-07
Emp5,FR,2025-01-20,2025-02-01
Emp5,FR,2025-04-19,2025-04-22
Emp5,FR,2025-03-26,2025-04-13
Emp5,FR,2025-07-26,2025-08-23
Emp5,FR,2025-07-09,2025-07-15
Emp5,FR,2025-05-24,2025-06-01
Emp5,FR,2025-01-19,2025-01-20
Emp5,FR,2025-03-10,2025-03-23
Emp5,FR,2025-08-02,2025-08-09
Emp5,FR,2025-05-18,2025-05-25
Emp5,FR,2025-10-07,2025-10-15
Emp5,FR,2025-03-19,2025-04-18
Emp5,FR,2025-01-10,2025-01-27
Emp5,FR,2025-05-28,2025-06-14
Emp5,FR,2025-07-21,2025-07-29
Emp5,FR,2025-03-14,2025-03-22
