Employee,Country,Entry,Exit
Emp1,FR,2025-03-03,2025-03-13
Emp1,FR,2025-04-28,2025-05-23
Emp1,FR,2025-10-06,2025-10-16
Emp1,FR,2025-09-05,2025-09-15
Emp1,FR,2025-05-05,2025-05-25
Emp1,FR,2025-08-04,2025-08-21
Emp1,FR,2025-06-14,2025-07-04
Emp1,FR,2025-01-29,2025-02-11
Emp1,FR,2025-01-21,2025-02-20
Emp1,FR,2025-03-20,2025-04-05
Emp1,FR,2025-04-20,2025-05-02
Emp1,FR,2025-10-05,2025-10-18
Emp1,FR,2025-05-21,2025-06-14
Emp1,FR,2025-10-03,2025-10-25
Emp1,FR,2025-07-26,2025-08-09
Emp1,FR,2025-08-24,2025-09-04
Emp1,FR,2025-06-27,2025-07-14
Emp1,FR,2025-04-26,2025-04-30
Emp1,FR,2025-09-17,2025-09-20
Emp1,FR,2025-01-11,2025-01-30
Emp2,FR,2025-02-04,2025-03-02
Emp2,FR,2025-06-18,2025-07-12
Emp2,FR,2025-03-18,2025-04-15
Emp2,FR,2025-05-10,2025-05-26
Emp2,FR,2025-03-09,2025-03-21
Emp2,FR,2025-10-21,2025-11-03
Emp2,FR,2025-04-27,2025-05-24
Emp2,FR,2025-06-10,2025-06-15
Emp2,FR,2025-06-12,2025-07-05
Emp2,FR,2025-04-25,2025-05-03
Emp2,FR,2025-02-07,2025-02-22
Emp2,FR,2025-03-13,2025-04-06
Emp2,FR,2025-02-09,2025-02-28
Emp2,FR,2025-03-19,2025-03-24
Emp2,FR,2025-01-21,2025-02-07
Emp2,FR,2025-01-08,2025-01-31
Emp2,FR,2025-06-19,2025-07-11
Emp2,FR,2025-04-07,2025-04-10
Emp2,FR,2025-01-23,2025-02-03
Emp2,FR,2025-07-24,2025-08-07
Emp3,FR,2025-10-27,2025-11-20
Emp3,FR,2025-09-25,2025-10-23
Emp3,FR,2025-07-07,2025-07-12
Emp3,FR,2025-10-11,2025-10-28
Emp3,FR,2025-05-24,2025-06-22
Emp3,FR,2025-08-19,2025-08-22
Emp3,FR,2025-08-05,2025-08-18
Emp3,FR,2025-03-20,2025-04-18
Emp3,FR,2025-03-01,2025-03-25
Emp3,FR,2025-09-23,2025-10-05
Emp3,FR,2025-04-24,2025-05-05
Emp3,FR,2025-02-13,2025-02-22
Emp3,FR,2025-04-25,2025-05-07
Emp3,FR,2025-09-05,2025-09-06
Emp3,FR,2025-03-24,2025-04-01
Emp3,FR,2025-06-07,2025-07-05
Emp3,FR,2025-07-28,2025-08-14
Emp3,FR,2025-04-06,2025-04-30
Emp3,FR,2025-08-12,2025-09-07
Emp3,FR,2025-01-19,2025-02-04
Emp4,FR,2025-03-02,2025-04-01
Emp4,FR,2025-09-05,2025-09-30
Emp4,FR,2025-02-23,2025-03-03
Emp4,FR,2025-09-27,2025-09-30
Emp4,FR,2025-01-28,2025-02-22
Emp4,FR,2025-07-05,2025-07-12
Emp4,FR,2025-03-16,2025-04-04
Emp4,FR,2025-05-02,2025-05-16
Emp4,FR,2025-01-02,2025-01-28
Emp4,FR,2025-06-01,2025-06-21
Emp4,FR,2025-09-06,2025-10-02
Emp4,FR,2025-08-20,2025-09-11
Emp4,FR,2025-03-09,2025-03-30
Emp4,FR,2025-09-28,2025-10-05
Emp4,FR,2025-09-27,2025-10-05
Emp4,FR,2025-05-26,2025-06-24
Emp4,FR,2025-01-23,2025-02-11
Emp4,FR,2025-05-03,2025-05-22
Emp4,FR,2025-04-05,2025-04-28
Emp4,FR,2025-09-06,2025-09-09
Emp5,FR,2025-02-21,2025-03-07
Emp5,FR,2025-08-11,2025-09-07
Emp5,FR,2025-03-02,2025-03-29
Emp5,FR,2025-01-25,2025-01-30
Emp5,FR,2025-07-26,2025-07-27
Emp5,FR,2025-09-27,2025-10-11
Emp5,FR,2025-05-03,2025-05-08
Emp5,FR,2025-10-16,2025-10-26
Emp5,FR,2025-08-13,2025-09-06
Emp5,FR,2025-10-25,2025-11-10
Emp5,FR,2025-06-13,2025-06-14
Emp5,FR,2025-05-26,2025-06-10
Emp5,FR,2025-06-17,2025-06-21
Emp5,FR,2025-04-30,2025-05-04
Emp5,FR,2025-04-16,2025-05-02
Emp5,FR,2025-02-05,2025-02-10
Emp5,FR,2025-10-17,2025-11-01
Emp5,FR,2025-06-30,2025-07-19
Emp5,FR,2025-02-21,2025-03-13
Emp5,FR,2025-07-31,2025-08-16
