Employee,Country,Entry,Exit
Emp1,FR,2025-09-16,2025-09-19
Emp1,FR,2025-07-06,2025-07-07
Emp1,FR,2025-01-12,2025-01-30
Emp1,FR,2025-03-08,2025-03-13
Emp1,FR,2025-08-16,2025-09-06
Emp1,FR,2025-10-28,2025-10-31
Emp1,FR,2025-03-10,2025-03-31
Emp1,FR,2025-07-26,2025-08-25
Emp1,FR,2025-08-05,2025-09-01
Emp1,FR,2025-10-09,2025-10-20
Emp1,FR,2025-03-18,2025-04-01
Emp1,FR,2025-01-16,2025-02-01
Emp1,FR,2025-01-22,2025-02-18
Emp1,FR,2025-02-09,2025-02-12
Emp1,FR,2025-01-05,2025-01-07
Emp1,FR,2025-08-01,2025-08-17
Emp1,FR,2025-01-17,2025-01-30
Emp1,FR,2025-06-21,2025-07-19
Emp1,FR,2025-01-09,2025-01-29
Emp1,FR,2025-02-08,2025-02-10
Emp2,FR,2025-03-10,2025-03-15
Emp2,FR,2025-06-20,2025-07-19
Emp2,FR,2025-02-17,2025-03-03
Emp2,FR,2025-10-21,2025-11-14
Emp2,FR,2025-10-07,2025-10-24
Emp2,FR,2025-03-19,2025-04-07
Emp2,FR,2025-03-29,2025-04-10
Emp2,FR,2025-01-15,2025-01-17
Emp2,FR,2025-01-14,2025-01-22
Emp2,FR,2025-10-11,2025-10-17
Emp2,FR,2025-01-07,2025-02-05
Emp2,FR,2025-04-11,2025-05-11
Emp2,FR,2025-04-18,2025-05-09
Emp2,FR,2025-06-28,2025-07-04
Emp2,FR,2025-02-10,2025-03-04
Emp2,FR,2025-03-27,2025-04-13
Emp2,FR,2025-02-27,2025-03-08
Emp2,FR,2025-03-03,2025-03-22
Emp2,FR,2025-10-18,2025-10-25
Emp2,FR,2025-05-07,2025-05-13
Emp3,FR,2025-05-19,2025-06-11
Emp3,FR,2025-05-07,2025-06-03
Emp3,FR,2025-05-01,2025-05-18
Emp3,FR,2025-08-18,2025-08-28
Emp3,FR,2025-05-12,2025-06-06
Emp3,FR,2025-07-07,2025-07-09
Emp3,FR,2025-10-01,2025-10-17
Emp3,FR,2025-06-10,2025-06-20
Emp3,FR,2025-03-10,2025-03-26
Emp3,FR,2025-04-20,2025-04-25
Emp3,FR,2025-03-20,2025-04-06
Emp3,FR,2025-05-18,2025-05-26
Emp3,FR,2025-01-19,2025-02-11
Emp3,FR,2025-06-04,2025-06-26
Emp3,FR,2025-08-17,2025-08-27
Emp3,FR,2025-04-15,2025-04-20
Emp3,FR,2025-03-25,2025-04-14
Emp3,FR,2025-10-12,2025-11-09
Emp3,FR,2025-07-13,2025-08-05
Emp3,FR,2025-03-06,2025-03-25
Emp4,FR,2025-08-01,2025-08-22
Emp4,FR,2025-10-11,2025-10-14
Emp4,FR,2025-01-28,2025-02-13
Emp4,FR,2025-04-22,2025-05-05
Emp4,FR,2025-06-29,2025-07-16
Emp4,FR,2025-10-27,2025-10-29
Emp4,FR,2025-06-14,2025-06-24
Emp4,FR,2025-07-05,2025-07-08
Emp4,FR,2025-01-28,2025-02-22
Emp4,FR,2025-08-05,2025-08-23
Emp4,FR,2025-06-17,2025-06-22
Emp4,FR,2025-04-13,2025-05-03
Emp4,FR,2025-05-10,2025-05-20
Emp4,FR,2025-10-09,2025-10-10
Emp4,FR,2025-09-10,2025-09-30
Emp4,FR,2025-08-02,2025-08-15
Emp4,FR,2025-01-21,2025-02-18
Emp4,FR,2025-07-22,2025-08-18
Emp4,FR,2025-03-14,2025-03-18
Emp4,FR,2025-01-16,2025-02-15
Emp5,FR,2025-08-20,2025-08-21
Emp5,FR,2025-07-25,2025-08-23
Emp5,FR,2025-05-27,2025-06-18
Emp5,FR,2025-04-24,2025-05-22
Emp5,FR,2025-06-07,2025-07-06
Emp5,FR,2025-02-14,2025-03-09
Emp5,FR,2025-06-18,2025-07-16
Emp5,FR,2025-07-31,2025-08-11
Emp5,FR,2025-03-01,2025-03-29
Emp5,FR,2025-06-24,2025-07-12
Emp5,FR,2025-06-06,2025-06-28
Emp5,FR,2025-03-20,2025-03-23
Emp5,FR,2025-05-09,2025-06-02
Emp5,FR,2025-10-23,2025-11-09
Emp5,FR,2025-02-05,2025-02-17
Emp5,FR,2025-03-08,2025-04-05
Emp5,FR,2025-06-24,2025-07-09
Emp5,FR,2025-05-17,2025-05-18
Emp5,FR,2025-09-27,2025-10-27
Emp5,FR,2025-07-30,2025-08-20
