Employee,Country,Entry,Exit
Emp1,FR,2025-09-11,2025-09-19
Emp1,FR,2025-02-15,2025-03-07
Emp1,FR,2025-03-11,2025-03-22
Emp1,FR,2025-03-06,2025-03-21
Emp1,FR,2025-07-09,2025-07-12
Emp1,FR,2025-03-21,2025-03-27
Emp1,FR,2025-05-30,2025-06-28
Emp1,FR,2025-02-12,2025-02-17
Emp1,FR,2025-07-26,2025-07-31
Emp1,FR,2025-06-18,2025-07-04
Emp1,FR,2025-06-19,2025-07-19
Emp1,FR,2025-01-11,2025-02-05
Emp1,FR,2025-03-13,2025-04-04
Emp1,FR,2025-04-07,2025-04-20
Emp1,FR,2025-06-04,2025-06-17
Emp1,FR,2025-07-23,2025-07-27
Emp1,FR,2025-07-29,2025-08-19
Emp1,FR,2025-03-03,2025-03-17
Emp1,FR,2025-10-01,2025-10-12
Emp1,FR,2025-01-09,2025-02-02
Emp2,FR,2025-06-27,2025-07-05
Emp2,FR,2025-10-06,2025-10-30
Emp2,FR,2025-06-08,2025-06-11
Emp2,FR,2025-06-03,2025-06-18
Emp2,FR,2025-06-05,2025-06-15
Emp2,FR,2025-06-30,2025-07-29
Emp2,FR,2025-10-28,2025-11-03
Emp2,FR,2025-07-18,2025-08-12
Emp2,FR,2025-09-08,2025-10-07
Emp2,FR,2025-02-17,2025-02-25
Emp2,FR,2025-02-08,2025-03-01
Emp2,FR,2025-02-09,2025-02-25
Emp2,FR,2025-04-10,2025-04-18
Emp2,FR,2025-08-04,2025-08-08
Emp2,FR,2025-09-25,2025-10-06
Emp2,FR,2025-05-06,2025-06-01
Emp2,FR,2025-05-02,2025-05-25
Emp2,FR,2025-05-03,2025-05-22
Emp2,FR,2025-09-02,2025-09-13
Emp2,FR,2025-08-26,2025-09-12
Emp3,FR,2025-08-17,2025-08-26
Emp3,FR,2025-04-04,2025-04-30
Emp3,FR,2025-06-09,2025-06-19
Emp3,FR,2025-09-13,2025-09-20
Emp3,FR,2025-09-11,2025-09-16
Emp3,FR,2025-08-28,2025-09-11
Emp3,FR,2025-02-14,2025-03-05
Emp3,FR,2025-02-08,2025-02-14
Emp3,FR,2025-03-20,2025-03-30
Emp3,FR,2025-09-03,2025-09-21
Emp3,FR,2025-03-22,2025-04-20
Emp3,FR,2025-07-21,2025-07-23
Emp3,FR,2025-06-09,2025-06-18
Emp3,FR,2025-03-14,2025-04-07
Emp3,FR,2025-01-29,2025-02-25
Emp3,FR,2025-05-07,2025-05-09
Emp3,FR,2025-04-14,2025-04-26
Emp3,FR,2025-01-31,2025-02-02
Emp3,FR,2025-04-21,2025-05-08
Emp3,FR,2025-05-08,2025-05-22
Emp4,FR,2025-10-13,2025-11-05
Emp4,FR,2025-06-26,2025-07-14
Emp4,FR,2025-05-24,2025-05-27
Emp4,FR,2025-07-29,2025-08-27
Emp4,FR,2025-06-21,2025-07-19
Emp4,FR,2025-01-16,2025-01-17
Emp4,FR,2025-10-16,2025-10-23
Emp4,FR,2025-01-20,2025-02-03
Emp4,FR,2025-08-07,2025-08-30
Emp4,FR,2025-01-14,2025-02-11
Emp4,FR,2025-07-08,2025-07-11
Emp4,FR,2025-09-20,2025-10-01
Emp4,FR,2025-10-26,2025-11-17
Emp4,FR,2025-07-12,2025-07-24
Emp4,FR,2025-09-14,2025-10-01
Emp4,FR,2025-06-14,2025-06-30
Emp4,FR,2025-09-22,2025-09-24
Emp4,FR,2025-02-08,2025-02-09
Emp4,FR,2025-07-02,2025-07-06
Emp4,FR,2025-05-12,2025-06-07
Emp5,FR,2025-07-27,2025-07-29
Emp5,FR,2025-02-17,2025-03-19
Emp5,FR,2025-06-27,2025-07-25
Emp5,FR,2025-05-29,2025-06-10
Emp5,FR,2025-10-02,2025-10-09
Emp5,FR,2025-04-24,2025-05-16
Emp5,FR,2025-01-08,2025-01-11
Emp5,FR,2025-05-26,2025-06-01
Emp5,FR,2025-07-29,2025-08-08
Emp5,FR,2025-10-09,2025-10-24
Emp5,FR,2025-08-05,2025-08-19
Emp5,FR,2025-05-19,2025-06-08
Emp5,FR,2025-07-14,2025-08-12
Emp5,FR,2025-08-18,2025-08-28
Emp5,FR,2025-09-24,2025-10-20
Emp5,FR,2025-04-12,2025-04-28
Emp5,FR,2025-02-15,2025-03-04
Emp5,FR,2025-04-18,2025-04-29
Emp5,FR,2025-05-19,2025-05-30
Emp5,FR,2025-07-07,2025-07-19
