Employee,Country,Entry,Exit
Emp1,FR,2025-01-07,2025-01-26
Emp1,FR,2025-09-13,2025-10-08
Emp1,FR,2025-01-22,2025-02-19
Emp1,FR,2025-03-30,2025-04-11
Emp1,FR,2025-04-17,2025-04-24
Emp1,FR,2025-10-09,2025-10-15
Emp1,FR,2025-03-24,2025-04-18
Emp1,FR,2025-03-04,2025-04-02
Emp1,FR,2025-07-23,2025-08-09
Emp1,FR,2025-04-20,2025-05-17
Emp1,FR,2025-02-22,2025-03-20
Emp1,FR,2025-01-21,2025-02-05
Emp1,FR,2025-02-17,2025-03-11
Emp1,FR,2025-01-29,2025-02-17
Emp1,FR,2025-09-07,2025-09-29
Emp1,FR,2025-03-17,2025-04-06
Emp1,FR,2025-01-03,2025-02-01
Emp1,FR,2025-10-07,2025-10-10
Emp1,FR,2025-07-22,2025-08-05
Emp1,FR,2025-10-21,2025-11-07
Emp2,FR,2025-07-31,2025-08-22
Emp2,FR,2025-04-14,2025-05-01
Emp2,FR,2025-08-23,2025-08-27
Emp2,FR,2025-09-22,2025-09-30
Emp2,FR,2025-07-26,2025-08-22
Emp2,FR,2025-04-16,2025-05-05
Emp2,FR,2025-04-24,2025-05-11
Emp2,FR,2025-02-17,2025-03-16
Emp2,FR,2025-02-10,2025-03-07
Emp2,FR,2025-09-01,2025-09-06
Emp2,FR,2025-10-25,2025-11-13
Emp2,FR,2025-06-03,2025-06-08
Emp2,FR,2025-03-02,2025-03-13
Emp2,FR,2025-01-06,2025-01-16
Emp2,FR,2025-06-13,2025-06-16
Emp2,FR,2025-08-07,2025-08-13
Emp2,FR,2025-05-07,2025-06-01
Emp2,FR,2025-07-11,2025-08-08
Emp2,FR,2025-08-24,2025-09-16
Emp2,FR,2025-05-09,2025-05-18
Emp3,FR,2025-04-21,2025-04-28
Emp3,FR,2025-06-23,2025-07-13
Emp3,FR,2025-09-14,2025-09-21
Emp3,FR,2025-08-08,2025-08-24
Emp3,FR,2025-04-17,2025-05-17
Emp3,FR,2025-06-08,2025-06-21
Emp3,FR,2025-02-02,2025-02-14
Emp3,FR,2025-06-20,2025-06-27
Emp3,FR,2025-02-27,2025-03-07
Emp3,FR,2025-05-14,2025-05-28
Emp3,FR,2025-10-23,2025-11-09
Emp3,FR,2025-04-25,2025-05-16
Emp3,FR,2025-07-20,2025-08-10
Emp3,FR,2025-03-14,2025-03-20
Emp3,FR,2025-09-28,2025-10-28
Emp3,FR,2025-01-19,2025-02-11
Emp3,FR,2025-09-29,2025-10-01
Emp3,FR,2025-01-13,2025-01-29
Emp3,FR,2025-05-06,2025-05-26
Emp3,FR,2025-08-14,2025-09-11
Emp4,FR,2025-10-15,2025-11-09
Emp4,FR,2025-05-07,2025-05-17
Emp4,FR,2025-03-24,2025-04-05
Emp4,FR,2025-04-27,2025-05-01
Emp4,FR,2025-08-08,2025-08-24
Emp4,FR,2025-03-22,2025-03-30
Emp4,FR,2025-02-19,2025-03-02
Emp4,FR,2025-05-15,2025-06-10
Emp4,FR,2025-04-29,2025-05-27
Emp4,FR,2025-01-06,2025-01-17
Emp4,FR,2025-04-21,2025-05-09
Emp4,FR,2025-03-10,2025-03-19
Emp4,FR,2025-05-30,2025-06-06
Emp4,FR,2025-04-22,2025-05-10
Emp4,FR,2025-01-02,2025-01-23
Emp4,FR,2025-02-23,2025-03-01
Emp4,FR,2025-06-29,2025-07-11
Emp4,FR,2025-02-11,2025-02-13
Emp4,FR,2025-08-11,2025-08-15
Emp4,FR,2025-06-14,2025-06-19
Emp5,FR,2025-05-06,2025-05-28
Emp5,FR,2025-03-15,2025-03-26
Emp5,FR,2025-07-26,2025-08-17
Emp5,FR,2025-03-14,2025-03-26
Emp5,FR,2025-02-14,2025-02-19
Emp5,FR,2025-02-15,2025-03-14
Emp5,FR,2025-04-23,2025-05-02
Emp5,FR,2025-07-11,2025-07-22
Emp5,FR,2025-07-12,2025-08-04
Emp5,FR,2025-05-05,2025-05-08
Emp5,FR,2025-09-25,2025-10-08
Emp5,FR,2025-03-31,2025-04-30
Emp5,FR,2025-10-12,2025-10-31
Emp5,FR,2025-01-21,2025-02-07
Emp5,FR,2025-05-23,2025-05-29
Emp5,FR,2025-07-11,2025-08-05
Emp5,FR,2025-10-25,2025-11-05
Emp5,FR,2025-04-18,2025-05-04
Emp5,FR,2025-01-19,2025-01-25
Emp5,FR,2025-07-06,2025-08-04
